Frame, Time_def, Emg1, Emg2, Emg3, Emg4, AccX, AccY, AccZ
6501, 0.00489726, -2, -1, -8, 0, -0.376953, -0.315918, 0.912109
6502, 0.00515823, -17, 12, 0, 2, -0.427246, -0.368164, 0.88623
6503, 0.00485364, 2, 18, 3, 2, -0.427246, -0.368164, 0.88623
6504, 0.00509739, 2, 18, 3, 2, -0.427246, -0.368164, 0.88623
6505, 0.0048881, 17, 12, -2, 0, -0.427246, -0.368164, 0.88623
6506, 0.00510252, 17, 12, -2, 0, -0.443359, -0.411621, 0.921875
6507, 0.00512561, 17, 12, -2, 0, -0.443359, -0.411621, 0.921875
6508, 0.00472352, 2, 4, -10, -5, -0.443359, -0.411621, 0.921875
6509, 0.00511938, -4, -9, -24, -3, -0.443359, -0.411621, 0.921875
6510, 0.00503471, -4, -9, -24, -3, -0.443359, -0.411621, 0.921875
6511, 0.00492035, -2, -11, -16, -6, -0.388672, -0.322754, 0.904785
6512, 0.00499329, -2, -11, -16, -6, -0.388672, -0.322754, 0.904785
6513, 0.00498303, -2, -11, -16, -6, -0.388672, -0.322754, 0.904785
6514, 0.00511021, 33, -9, -17, -6, -0.388672, -0.322754, 0.904785
6515, 0.00494527, 33, -9, -17, -6, -0.388672, -0.322754, 0.904785
6516, 0.00504204, 2, -15, -15, -3, -0.374023, -0.255371, 0.913574
6517, 0.00499659, 1, -2, -1, 3, -0.374023, -0.255371, 0.913574
6518, 0.00492402, 1, -2, -1, 3, -0.394043, -0.265137, 0.901855
6519, 0.00517436, 1, -2, -1, 3, -0.394043, -0.265137, 0.901855
6520, 0.0048859, 5, 0, 11, 0, -0.394043, -0.265137, 0.901855
6521, 0.00490166, -2, 2, 3, 2, -0.394043, -0.265137, 0.901855
6522, 0.00510765, -2, 2, 3, 2, -0.394043, -0.265137, 0.901855
6523, 0.00493904, -4, 2, -6, -2, -0.385254, -0.297363, 0.895508
6524, 0.00506147, -4, 2, -6, -2, -0.385254, -0.297363, 0.895508
6525, 0.0050523, -4, 2, -6, -2, -0.385254, -0.297363, 0.895508
6526, 0.00499329, -27, 7, 7, 0, -0.385254, -0.297363, 0.895508
6527, 0.00494271, -27, 7, 7, 0, -0.385254, -0.297363, 0.895508
6528, 0.00501528, 14, 6, -9, -4, -0.413574, -0.350586, 0.886719
6529, 0.00490129, 0, -1, 11, 1, -0.413574, -0.350586, 0.886719
6530, 0.00509262, 0, -1, 11, 1, -0.414062, -0.314941, 0.910645
